Family	Binomial	A
Caprifoliaceae	Abelia_biflora	0.002375829
Caprifoliaceae	Abelia_dielsii	0.00115375
Caprifoliaceae	Abelia_integrifolia	0.001134115
Caprifoliaceae	Abelia_mosanensis	0.000855299
Caprifoliaceae	Abelia_serrata	0.000706858
Caprifoliaceae	Abelia_spathulata	0.000804248
Malvaceae	Abutilon_fruticosum	0.001452201
Malvaceae	Abutilon_pannosum	0.003117245
Fabaceae	Acacia_albida	0.012271846
Fabaceae	Acacia_ataxacantha	0.013069811
Fabaceae	Acacia_borleae	0.004071504
Fabaceae	Acacia_burkei	0.008992024
Fabaceae	Acacia_caffra	0.010207035
Fabaceae	Acacia_cyanophylla	0.009160884
Fabaceae	Acacia_davyi	0.008332289
Fabaceae	Acacia_erioloba	0.015174678
Fabaceae	Acacia_erubescens	0.008824734
Fabaceae	Acacia_exuvialis	0.001134115
Fabaceae	Acacia_galpinii	0.012076282
Fabaceae	Acacia_gerrardii	0.011574413
Fabaceae	Acacia_grandicornuta	0.006503882
Fabaceae	Acacia_haematoxylon	0.005026548
Fabaceae	Acacia_hebeclada	0.008659015
Fabaceae	Acacia_hereroensis	0.003959192
Fabaceae	Acacia_karroo	0.020867244
Fabaceae	Acacia_luederitzii	0.007542964
Fabaceae	Acacia_mangium	0.016933724
Fabaceae	Acacia_melanoxylon	0.011976733
Fabaceae	Acacia_mellifera	0.007697687
Fabaceae	Acacia_montis-usti	0.005410608
Fabaceae	Acacia_nebrownii	0.002642079
Fabaceae	Acacia_nigrescens	0.008659015
Fabaceae	Acacia_nilotica	0.005541769
Fabaceae	Acacia_permixta	0.003525652
Fabaceae	Acacia_polyacantha	0.02659044
Fabaceae	Acacia_raddiana	0.011309734
Fabaceae	Acacia_redacta	0.001590431
Fabaceae	Acacia_reficiens	0.013684778
Fabaceae	Acacia_rehmanniana	0.007088218
Fabaceae	Acacia_robusta	0.015836769
Fabaceae	Acacia_robynsiana	0.00664761
Fabaceae	Acacia_schweinfurthii	0.003631681
Fabaceae	Acacia_senegal	0.006729684
Fabaceae	Acacia_sieberana	0.018385386
Fabaceae	Acacia_sp	0.019739412
Fabaceae	Acacia_stuhlmannii	0.005674502
Fabaceae	Acacia_swazica	0.007088218
Fabaceae	Acacia_tortilis	0.009247671
Fabaceae	Acacia_xanthophloea	0.010386891
