species,Freeze.tmin.lo
Abarema adenophora,FreezingUnexposed
Abarema barbouriana,FreezingUnexposed
Abarema curvicarpa,FreezingUnexposed
Abarema jupunba,FreezingUnexposed
Abarema macradenia,FreezingUnexposed
Abarema mataybifolia,FreezingUnexposed
Abatia canescens,FreezingUnexposed
Abatia mexicana,FreezingUnexposed
Abatia parviflora,FreezingUnexposed
Abatia rugosa,FreezingUnexposed
Abatia spicata,FreezingExposed
Abatia stellata,FreezingExposed
Abelia biflora,FreezingExposed
Abelia chinensis,FreezingExposed
Abelia dielsii,FreezingExposed
Abelia mosanensis,FreezingExposed
Abelia serrata,FreezingExposed
Abelia spathulata,FreezingExposed
Abelia triflora,FreezingExposed
Abeliophyllum distichum,FreezingExposed
Abelmoschus esculentus,FreezingExposed
Abelmoschus ficulneus,FreezingUnexposed
Abelmoschus manihot,FreezingUnexposed
Abelmoschus moschatus,FreezingUnexposed
Abies alba,FreezingExposed
Abies amabilis,FreezingExposed
Abies balsamea,FreezingExposed
Abies borisii-regis,FreezingExposed
Abies bracteata,FreezingExposed
Abies cephalonica,FreezingExposed
Abies chensiensis,FreezingExposed
Abies cilicica,FreezingExposed
Abies concolor,FreezingExposed
Abies delavayi,FreezingExposed
Abies densa,FreezingExposed
Abies durangensis,FreezingExposed
Abies fargesii,FreezingExposed
Abies firma,FreezingExposed
Abies forrestii,FreezingExposed
Abies fraseri,FreezingExposed
Abies grandis,FreezingExposed
Abies guatemalensis,FreezingUnexposed
Abies holophylla,FreezingExposed
Abies homolepis,FreezingExposed
Abies kawakamii,FreezingExposed
Abies koreana,FreezingExposed
Abies lasiocarpa,FreezingExposed
Abies magnifica,FreezingExposed
Abies mariesii,FreezingExposed
Abies nebrodensis,FreezingExposed
Abies nephrolepis,FreezingExposed
Abies nordmanniana,FreezingExposed
Abies numidica,FreezingExposed
Abies pindrow,FreezingExposed
Abies pinsapo,FreezingExposed
Abies procera,FreezingExposed
Abies recurvata,FreezingExposed
Abies religiosa,FreezingExposed
Abies sachalinensis,FreezingExposed
Abies sibirica,FreezingExposed
Abies spectabilis,FreezingExposed
Abies squamata,FreezingExposed
