file	treetype	treename	ntaxa	n00	n01	n10	n11	groom	minclimdat	perc	trait	ratemat	loglik	AICc	trans_00-01	trans_00-10	trans_00-11	trans_01-00	trans_01-10	trans_01-11	trans_10-00	trans_10-01	trans_10-11	trans_11-00	trans_11-01	trans_11-10	traitfirst	simult	climfirst	climratesum	traitratesum	clim_vs_trait_labil	persistence00	persistence01	persistence10	persistence11	diagnosis
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_10_perc0025_woody.Rdata	compound	asterids	3475	1157	299	742	1277	all	10	perc0025	woody	NULL	-2975.817	5967.675	0.005899921	0.01595798	NA	0.04592333	NA	0.4360433	0.03814437	NA	0.001957974	NA	0.09170316	0.01335224	87.26251	0	12.73749	0.5818489	0.06713346	8.667046	45.75004	2.074832	24.9362	9.518787	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_10_perc0100_woody.Rdata	compound	asterids	3475	1276	438	623	1138	all	10	perc0100	woody	NULL	-3128.863	6273.768	0.006515429	0.01935516	NA	0.03633506	NA	0.2527295	0.05408478	NA	0.001203851	NA	0.09257185	0.01201323	93.11138	0	6.888621	0.4187413	0.05606757	7.468511	38.65393	3.459435	18.0869	9.561593	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_10_perc0900_woody.Rdata	compound	asterids	3475	1706	1254	193	322	all	10	perc0900	woody	NULL	-2582.821	5181.684	0.005007557	0.01145108	NA	0.01953864	NA	0.3408232	0.1204705	NA	0	NA	1.330323	0.01293565	100	0	0	1.803068	0.03748185	48.1051	60.75839	2.774988	8.300785	0.7444581	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_10_perc0975_woody.Rdata	compound	asterids	3475	1785	1390	114	186	all	10	perc0975	woody	NULL	-2206.862	4429.765	0.004750302	0.07837933	NA	0.01647293	NA	0.3942212	1.331198	NA	0	NA	2.914318	0.02966564	100	0	0	4.718117	0.05088887	92.71413	12.02941	2.434902	0.7512028	0.3396758	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_10_percmax_woody.Rdata	compound	asterids	3475	1855	1474	44	102	all	10	percmax	woody	NULL	-1788.234	3592.51	0.004379562	2.379839	NA	0.01948193	NA	0.08214815	100	NA	0.005433395	NA	1.127577	0	96.47622	0	3.523784	103.5896	0.02929489	3536.097	0.4194246	9.839606	0.009999457	0.8868573	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_10_percmed_woody.Rdata	compound	asterids	3475	1503	772	396	804	all	10	percmed	woody	NULL	-3195.84	6407.721	0.005690119	0.01747815	NA	0.02742275	NA	0.4176366	0.0783163	NA	0.0006403141	NA	0.3922276	0.009548676	97.41405	0	2.585948	0.9056586	0.04330186	20.915	43.16248	2.246892	12.66518	2.488948	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_10_percmin_woody.Rdata	compound	asterids	3475	942	191	957	1385	all	10	percmin	woody	NULL	-2920.48	5857.001	0.002193566	0.03927036	NA	0.04640357	NA	0.5555017	0.04632346	NA	0.007359776	NA	0.06820951	0.01485423	27.32692	0	72.67308	0.7093051	0.07081115	10.01686	24.11735	1.661391	18.62779	12.03895	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_1_perc0025_woody.Rdata	compound	asterids	4073	1468	368	865	1372	all	1	perc0025	woody	NULL	-3575.572	7167.179	0.004698066	0.02377179	NA	0.05023078	NA	0.377934	0.05200248	NA	0.002712508	NA	0.096329	0.01279928	77.87035	0	22.12965	0.5500373	0.07044064	7.808522	35.12487	2.335549	18.27653	9.163527	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_1_perc0100_woody.Rdata	compound	asterids	4073	1595	509	738	1231	all	1	perc0100	woody	NULL	-3679.774	7375.583	0.005043571	0.02790053	NA	0.04245709	NA	0.1704076	0.07091887	NA	0.002381726	NA	0.0725162	0.01115706	81.66403	0	18.33597	0.3417432	0.06103946	5.598727	30.35445	4.697819	13.64245	11.95125	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_1_perc0900_woody.Rdata	compound	asterids	4073	2077	1352	256	388	all	1	perc0900	woody	NULL	-3047.653	6111.341	0.004380069	0.01492001	NA	0.02218743	NA	0.3436804	0.1316852	NA	0.001260122	NA	1.188036	0.01040081	96.67708	0	3.322924	1.678322	0.03822843	43.90245	51.81327	2.733227	7.521888	0.8344204	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_1_perc0975_woody.Rdata	compound	asterids	4073	2163	1489	170	251	all	1	perc0975	woody	NULL	-2685.929	5387.894	0.004275415	7.86081	NA	0.02134154	NA	0.3004263	100	NA	0	NA	1.738136	0.009229682	100	0	0	109.8994	0.03484663	3153.802	0.1271442	3.107831	0.01	0.57229	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_1_percmax_woody.Rdata	compound	asterids	4073	2235	1574	98	166	all	1	percmax	woody	NULL	-2315.751	4647.536	0.00412042	0.6907188	NA	0.02179912	NA	0.1259538	15.70573	NA	0	NA	1.133488	0	100	0	0	17.65589	0.02591954	681.1806	1.439182	6.768054	0.06367104	0.8822329	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_1_percmed_woody.Rdata	compound	asterids	4073	1850	857	483	883	all	1	percmed	woody	NULL	-3668.521	7353.078	0.004749273	0.02051045	NA	0.03174571	NA	0.2994911	0.08514786	NA	0.001839466	NA	0.2907303	0.008106326	90.82619	0	9.173807	0.6958798	0.04644077	14.98424	39.58872	3.018988	11.49593	3.346309	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_1_percmin_woody.Rdata	compound	asterids	4073	1250	259	1083	1481	all	1	percmin	woody	NULL	-3568.196	7152.427	0.001456157	0.05077114	NA	0.04910809	NA	0.6343817	0.06742092	NA	0.007606762	NA	0.103894	0.01496876	20.79596	0	79.20404	0.8564678	0.07313977	11.71001	19.14708	1.46308	13.32841	8.413062	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_3_perc0025_woody.Rdata	compound	asterids	3822	1315	346	818	1343	all	3	perc0025	woody	NULL	-3330.472	6676.981	0.005140116	0.01953609	NA	0.04578891	NA	0.4432346	0.04553396	NA	0.002323468	NA	0.1060706	0.01350635	83.08504	0	16.91496	0.6143752	0.06675884	9.202905	40.52487	2.044891	20.8954	8.362818	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_3_perc0100_woody.Rdata	compound	asterids	3822	1442	487	691	1202	all	3	perc0100	woody	NULL	-3458.615	6933.267	0.005456054	0.02450521	NA	0.03845034	NA	0.2154602	0.06459014	NA	0.002010959	NA	0.08689313	0.01186061	86.22071	0	13.77929	0.3914486	0.05777796	6.775051	33.37643	3.938396	15.01477	10.1262	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_3_perc0900_woody.Rdata	compound	asterids	3822	1914	1328	219	361	all	3	perc0900	woody	NULL	-2855.904	5727.846	0.004382776	0.0160086	NA	0.02122181	NA	0.2958345	0.1571012	NA	0.001506076	NA	1.079638	0.01087503	96.41603	0	3.583974	1.548582	0.03798569	40.76752	49.04033	3.154014	6.304882	0.9169995	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_3_perc0975_woody.Rdata	compound	asterids	3822	2000	1465	133	224	all	3	perc0975	woody	NULL	-2454.681	4925.399	0.004295181	6.641858	NA	0.02007474	NA	0.2645757	100	NA	0	NA	1.685227	0.0120653	100	0	0	108.5917	0.03643522	2980.403	0.150463	3.513081	0.01	0.5891736	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_3_percmax_woody.Rdata	compound	asterids	3822	2072	1550	61	139	all	3	percmax	woody	NULL	-2053.294	4122.626	0.004082895	2.954965	NA	0.02089003	NA	0.09079354	100	NA	0.001064839	NA	0.9566993	0	99.06093	0	0.9390748	104.0025	0.02603776	3994.293	0.3379466	8.953869	0.009999894	1.045261	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_3_percmed_woody.Rdata	compound	asterids	3822	1690	834	443	855	all	3	percmed	woody	NULL	-3475.423	6966.884	0.004867645	0.01904558	NA	0.03049528	NA	0.3173975	0.08105252	NA	0.001682805	NA	0.3080979	0.008234343	91.97696	0	8.023042	0.7255935	0.04528008	16.02456	41.81787	2.874449	12.08673	3.161233	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_all_3_percmin_woody.Rdata	compound	asterids	3822	1097	237	1036	1452	all	3	percmin	woody	NULL	-3301.698	6619.434	0.001880317	0.04389577	NA	0.04697691	NA	0.6654332	0.0559262	NA	0.006838405	NA	0.0994109	0.01518283	26.85962	0	73.14038	0.864666	0.07087846	12.19928	21.84547	1.403686	15.93255	8.726481	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_10_perc0025_woody.Rdata	compound	asterids	3475	1155	291	744	1285	groomed	10	perc0025	woody	NULL	-2957.36	5930.762	0.0059158	0.01624295	NA	0.04616589	NA	0.4976047	0.03626474	NA	0.001832189	NA	0.09989895	0.01344994	87.38976	0	12.61024	0.6500113	0.06736381	9.649266	45.1289	1.839011	26.24883	8.822318	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_10_perc0100_woody.Rdata	compound	asterids	3475	1273	420	626	1156	groomed	10	perc0100	woody	NULL	-3089.687	6195.415	0.006239358	0.0187585	NA	0.0395745	NA	0.2177148	0.0491181	NA	0.001720224	NA	0.07505128	0.01146138	89.26798	0	10.73202	0.3606427	0.05899546	6.113058	40.00343	3.886675	19.6702	11.559	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_10_perc0900_woody.Rdata	compound	asterids	3475	1696	1235	203	341	groomed	10	perc0900	woody	NULL	-2629.667	5275.376	0.004946847	0.01085871	NA	0.01912181	NA	0.3866809	0.121787	NA	0	NA	1.404095	0.01533385	100	0	0	1.923422	0.03940251	48.8147	63.2689	2.464252	8.211059	0.7045087	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_10_perc0975_woody.Rdata	compound	asterids	3475	1790	1377	109	199	groomed	10	perc0975	woody	NULL	-2216.906	4449.853	0.004789646	6.0518	NA	0.01693749	NA	0.2731744	100	NA	0	NA	1.859388	0.02499724	100	0	0	108.1844	0.04672437	2315.373	0.1651094	3.446945	0.01	0.530677	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_10_percmax_woody.Rdata	compound	asterids	3475	1854	1474	45	102	groomed	10	percmax	woody	NULL	-1791.961	3599.963	0.004383089	2.43543	NA	0.01946914	NA	0.08237914	100	NA	0.005282311	NA	1.130544	0	96.49851	0	3.501495	103.6484	0.02913454	3557.577	0.4098674	9.818527	0.009999472	0.8845301	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_10_percmed_woody.Rdata	compound	asterids	3475	1503	715	396	861	groomed	10	percmed	woody	NULL	-3169.688	6355.418	0.00539323	0.01636513	NA	0.02950671	NA	0.3913676	0.07426839	NA	0.001392043	NA	0.3184872	0.009254246	94.3363	0	5.663705	0.8004883	0.04554623	17.57529	45.95935	2.376006	13.21695	3.051186	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_10_percmin_woody.Rdata	compound	asterids	3475	946	191	953	1385	groomed	10	percmin	woody	NULL	-2919.47	5854.982	0.002365464	0.03833462	NA	0.04726442	NA	0.5875206	0.04566327	NA	0.007187374	NA	0.07200702	0.01474865	29.57518	0	70.42482	0.7435255	0.07156591	10.38938	24.56998	1.575337	18.92125	11.52662	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_1_perc0025_woody.Rdata	compound	asterids	4073	1466	360	867	1380	groomed	1	perc0025	woody	NULL	-3562.851	7141.738	0.004526817	0.02353214	NA	0.05033504	NA	0.4406077	0.04983115	NA	0.002961763	NA	0.1074696	0.01301001	75.47432	0	24.52568	0.6214406	0.07083363	8.773243	35.63924	2.036897	18.94194	8.30016	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_1_perc0100_woody.Rdata	compound	asterids	4073	1593	491	740	1249	groomed	1	perc0100	woody	NULL	-3638.845	7293.725	0.004796287	0.02616736	NA	0.04573251	NA	0.1527608	0.06574527	NA	0.002747146	NA	0.06247167	0.01072718	77.86141	0	22.13859	0.3071451	0.06400312	4.798909	32.29594	5.037953	14.60016	13.66142	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_1_perc0900_woody.Rdata	compound	asterids	4073	2068	1333	265	407	groomed	1	perc0900	woody	NULL	-3091.776	6199.587	0.004277871	0.01497587	NA	0.02165219	NA	0.3847693	0.1341919	NA	0.002128108	NA	1.252442	0.01250141	94.5424	0	5.457596	1.786379	0.04055958	44.04332	51.93795	2.4605	7.335682	0.7905495	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_1_perc0975_woody.Rdata	compound	asterids	4073	2169	1475	164	265	groomed	1	perc0975	woody	NULL	-2703.127	5422.289	0.004275304	0.1491054	NA	0.01815275	NA	17.99471	2.062378	NA	0	NA	100	0.02716666	100	0	0	120.2062	0.04959471	2423.77	6.519723	0.0555159	0.4848772	0.009997284	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_1_percmax_woody.Rdata	compound	asterids	4073	2234	1573	99	167	groomed	1	percmax	woody	NULL	-2321.048	4658.131	0.004122154	0.6966668	NA	0.02181671	NA	0.1258165	15.6723	NA	0	NA	1.123281	0	100	0	0	17.61806	0.02593887	679.2148	1.426963	6.773545	0.06380686	0.8902489	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_1_percmed_woody.Rdata	compound	asterids	4073	1853	801	480	939	groomed	1	percmed	woody	NULL	-3631.835	7279.706	0.004673015	0.01922457	NA	0.03373111	NA	0.2831363	0.08235609	NA	0.002092226	NA	0.2419878	0.008023419	89.76123	0	10.23877	0.6267047	0.04851977	12.91648	41.84524	3.155895	11.84156	3.999821	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_1_percmin_woody.Rdata	compound	asterids	4073	1254	259	1079	1481	groomed	1	percmin	woody	NULL	-3564.063	7144.161	0.001508227	0.04984197	NA	0.04988184	NA	0.6373443	0.06657021	NA	0.007562084	NA	0.1043808	0.01484194	21.57561	0	78.42439	0.8581374	0.07379408	11.62881	19.47412	1.455125	13.4894	8.387659	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_3_perc0025_woody.Rdata	compound	asterids	3822	1313	338	820	1351	groomed	3	perc0025	woody	NULL	-3309.823	6635.683	0.004975385	0.01849948	NA	0.04623293	NA	0.5105773	0.0434143	NA	0.002460288	NA	0.1167176	0.01373608	82.13778	0	17.86222	0.6892086	0.06740468	10.22494	42.59875	1.795944	21.79856	7.665558	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_3_perc0100_woody.Rdata	compound	asterids	3822	1440	469	693	1220	groomed	3	perc0100	woody	NULL	-3419.883	6855.803	0.005279141	0.02310234	NA	0.04114834	NA	0.1917555	0.06113362	NA	0.002324032	NA	0.07345747	0.01151212	83.70574	0	16.29426	0.3494489	0.06026364	5.798669	35.23425	4.293618	15.75854	11.76892	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_3_perc0900_woody.Rdata	compound	asterids	3822	1905	1309	228	380	groomed	3	perc0900	woody	NULL	-2902.35	5820.737	0.004323573	0.01576902	NA	0.02070998	NA	0.3343425	0.162474	NA	0.001815624	NA	1.143809	0.01324749	95.89535	0	4.104648	1.656394	0.04009667	41.31002	49.76959	2.816485	6.08681	0.8642624	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_3_perc0975_woody.Rdata	compound	asterids	3822	2006	1451	127	238	groomed	3	perc0975	woody	NULL	-2469.592	4955.221	0.004302991	6.194256	NA	0	NA	16.43284	100	NA	0	NA	100	0.134238	100	0	0	222.6271	0.138541	1606.94	0.1613278	0.06085376	0.01	0.009986594	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_3_percmax_woody.Rdata	compound	asterids	3822	2071	1549	62	140	groomed	3	percmax	woody	NULL	-2059.14	4134.318	0.004086085	3.004865	NA	0.02090858	NA	0.09132986	100	NA	0.0008986551	NA	0.9530985	0	99.19439	0	0.8056059	104.0493	0.02589332	4018.384	0.3323417	8.909603	0.00999991	1.04921	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_3_percmed_woody.Rdata	compound	asterids	3822	1693	778	440	911	groomed	3	percmed	woody	NULL	-3449.31	6914.659	0.004702565	0.01840505	NA	0.03196705	NA	0.312561	0.08220268	NA	0.002202898	NA	0.2662018	0.008441054	89.88005	0	10.11995	0.6793705	0.04731357	14.35889	43.27578	2.902521	11.84756	3.641093	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_asterids_data_groomed_3_percmin_woody.Rdata	compound	asterids	3822	1101	237	1032	1452	groomed	3	percmin	woody	NULL	-3297.305	6610.649	0.001944706	0.04237682	NA	0.04781853	NA	0.6690447	0.05445779	NA	0.006771884	NA	0.09999588	0.01506232	27.91519	0	72.08481	0.8658752	0.07159744	12.09366	22.5624	1.394966	16.33195	8.691254	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_10_perc0025_woody.Rdata	compound	magnolids	425	344	12	60	9	all	10	perc0025	woody	NULL	-175.1368	366.6198	0	0.007741028	NA	0.0248177	NA	0	0.03466807	NA	0.001368272	NA	0.005142178	0.005609152	0	0	100	0.04755128	0.03179512	1.495553	129.1818	40.29383	27.74976	93.01175	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_10_perc0100_woody.Rdata	compound	magnolids	425	352	13	52	8	all	10	perc0100	woody	NULL	-167.6874	351.7209	0.0007685809	0.007124361	NA	0	NA	0	0.03964253	NA	0	NA	0.0005397704	0.009410774	0	0	0	0.04730666	0.01017935	4.647314	126.6955	Inf	25.22543	100.497	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_10_perc0900_woody.Rdata	compound	magnolids	425	391	19	13	2	all	10	perc0900	woody	NULL	-88.61856	193.5833	0.0004559057	0.005933515	NA	0	NA	0.01550896	0.1799474	NA	0	NA	0.08682249	0.06930126	100	0	0	0.2882123	0.06975716	4.131652	156.5087	64.47888	5.55718	6.405176	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_10_perc0975_woody.Rdata	compound	magnolids	425	400	20	4	1	all	10	perc0975	woody	NULL	-56.10227	128.5507	0.0003380664	0.003715199	NA	0	NA	0.01139169	0.3927715	NA	0	NA	0.07958792	0.1083451	100	0	0	0.4874663	0.1086831	4.485206	246.7147	87.78329	2.54601	5.321045	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_10_percmax_woody.Rdata	compound	magnolids	425	401	21	3	0	all	10	percmax	woody	NULL	-45.66572	107.6776	0	0.001190256	NA	0	NA	0.01164782	0.1121159	NA	0.172533	NA	45.69375	100	0	0	100	45.8187	100.1725	0.4573979	840.1553	85.85297	3.5131	0.006863712	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_10_percmed_woody.Rdata	compound	magnolids	425	371	15	33	6	all	10	percmed	woody	NULL	-130.3006	276.9473	0.0005474884	0.002339262	NA	0.003102935	NA	0.009297873	0.03676837	NA	0	NA	0.007294832	0.01453999	100	0	0	0.05570034	0.01819042	3.062071	346.4103	80.6399	27.19729	45.7984	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_10_percmin_woody.Rdata	compound	magnolids	425	311	8	93	13	all	10	percmin	woody	NULL	-247.0253	510.3967	0.0005656954	0.02251945	NA	0.02716594	NA	0.02310402	0.05288476	NA	0.000776785	NA	0.00575048	0	44.36919	0	55.63081	0.1042587	0.02850842	3.657119	43.31789	19.8926	18.63532	173.8985	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_1_perc0025_woody.Rdata	compound	magnolids	532	436	14	72	10	all	1	perc0025	woody	NULL	-230.7602	477.7957	0	0.01674523	NA	0.02713905	NA	0	0.08648638	NA	0.003063028	NA	0.008578212	0	0	0	100	0.1118098	0.03020208	3.702057	59.71849	36.84727	11.16702	116.5744	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_1_perc0100_woody.Rdata	compound	magnolids	532	445	15	63	9	all	1	perc0100	woody	NULL	-223.3616	462.9984	0	0.02106243	NA	0.02720956	NA	0	0.1206529	NA	0.002726784	NA	0.008802869	0	0	0	100	0.1505182	0.02993634	5.027943	47.47791	36.75179	8.105061	113.5993	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_1_perc0900_woody.Rdata	compound	magnolids	532	492	21	16	3	all	1	perc0900	woody	NULL	-111.0753	238.4259	0.0005948449	0.01207958	NA	0	NA	0	0.3646086	NA	0.006140478	NA	0.006470826	0.01363043	0	0	25.16838	0.383159	0.02036576	18.81389	78.89904	Inf	2.697242	49.74813	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_1_perc0975_woody.Rdata	compound	magnolids	532	501	22	7	2	all	1	perc0975	woody	NULL	-76.07885	168.433	0	0.006461334	NA	0	NA	0.01725038	0.3413378	NA	0.05890264	NA	0.3606869	0	0	0	100	0.7257364	0.05890264	12.32095	154.7668	57.96975	2.498498	2.772488	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_1_percmax_woody.Rdata	compound	magnolids	532	502	23	6	1	all	1	percmax	woody	NULL	-69.58611	155.4475	0.0008331786	0.006574266	NA	0	NA	0	0.4714041	NA	0.0279814	NA	0	0.1008476	0	0	30.65777	0.4779784	0.1296622	3.686337	134.9993	Inf	2.002461	9.915954	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_1_percmed_woody.Rdata	compound	magnolids	532	469	17	39	7	all	1	percmed	woody	NULL	-169.5626	355.4006	0.0005399091	0.01166031	NA	0	NA	0.008654159	0.1414798	NA	0	NA	0.001361349	0.02079667	100	0	0	0.1631556	0.02133658	7.646758	81.96575	115.5514	7.068146	45.13039	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_1_percmin_woody.Rdata	compound	magnolids	532	402	10	106	14	all	1	percmin	woody	NULL	-299.8762	616.0277	0	0.03738792	NA	0.02760736	NA	0.02191033	0.1184772	NA	0.002047607	NA	0.01143948	0	0	0	100	0.1892149	0.02965497	6.380547	26.74661	20.1948	8.297046	87.41655	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_3_perc0025_woody.Rdata	compound	magnolids	486	396	12	68	10	all	3	perc0025	woody	NULL	-211.0579	438.4177	0	0.01602776	NA	0.02960918	NA	0	0.07140149	NA	0.00291643	NA	0.006516856	0	0	0	100	0.0939461	0.03252561	2.888373	62.39176	33.77331	13.45571	153.4482	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_3_perc0100_woody.Rdata	compound	magnolids	486	405	13	59	9	all	3	perc0100	woody	NULL	-204.8924	426.0867	1.972564e-05	0.02073629	NA	0.02818838	NA	0	0.1059462	NA	0.002717003	NA	0.006908287	0	0	0	100	0.1335908	0.0309251	4.319818	48.17881	35.47562	9.202744	144.7537	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_3_perc0900_woody.Rdata	compound	magnolids	486	451	19	13	3	all	3	perc0900	woody	NULL	-99.47322	215.2483	0.0006154305	0.01305506	NA	0	NA	0	0.437066	NA	0.004471258	NA	0.005566625	0.01466641	0	0	17.68286	0.4556877	0.0197531	23.06917	73.15027	Inf	2.264814	49.42411	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_3_perc0975_woody.Rdata	compound	magnolids	486	460	20	4	2	all	3	perc0975	woody	NULL	-62.30373	140.9093	7.515559e-05	0.001900821	NA	0	NA	0.009443404	0.1957935	NA	0.09177033	NA	0.05855167	0.1234529	11.02368	0	88.97632	0.2656894	0.2152984	1.234052	506.0789	105.894	3.477489	5.494367	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_3_percmax_woody.Rdata	compound	magnolids	486	461	21	3	1	all	3	percmax	woody	NULL	-53.33173	122.9654	0.0006155506	0.0005884136	NA	0	NA	0	0.04474803	NA	0.1173037	NA	0.01828324	0.1996067	0	0	40.89673	0.06361968	0.317526	0.2003605	830.5895	Inf	6.17087	4.589472	ok
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_magnolids_data_all_3_percmed_woody.Rdata	compound	magnolids	486	428	15	36	7	all	3	percmed	woody	NULL	-157.592	331.4859	0	0.01058823	NA	0.0265311	NA	0	0.1078809	NA	0.00493889	NA	0.01177742	0	0	0	100	0.1302466	0.03146999	4.138755	94.44452	37.69161	8.86369	84.90825	ok
