file	treetype	treename	ntaxa	n00	n01	n10	n11	groom	minclimdat	perc	trait	ratemat	loglik	AICc	trans_00.01	trans_00.10	trans_00.11	trans_01.00	trans_01.10	trans_01.11	trans_10.00	trans_10.01	trans_10.11	trans_11.00	trans_11.01	trans_11.10	traitfirst	simult	climfirst	climratesum	traitratesum	clim_vs_trait_labil	persistence00	persistence01	persistence10	persistence11	diagnosis	analysis	dAIC
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_10_perc0025_vessel.Rdata	tree	tree	689	315	56	156	162	all	10	perc0025	vessel	NULL	-705.7059	1427.624	0.003473669	0.0150352	NA	0.03417782	NA	0.07282577	0.02596696	NA	0.0148337	NA	0.03246441	0.0171082	30.19185	0	69.80815	0.1462923	0.06959339	2.102101	54.02815	9.345481	24.5094	20.17243	ok	vessel all 10 perc0025	8.0139999999999
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_10_perc0100_vessel.Rdata	tree	tree	689	347	76	124	142	all	10	perc0100	vessel	NULL	-685.9967	1388.205	0.004788273	0.01017821	NA	0.02826036	NA	0.0413663	0.02823828	NA	0.01412643	NA	0.02707285	0.01794956	45.5991	0	54.4009	0.1068556	0.06512463	1.640787	66.81596	14.36231	23.60455	22.21116	ok	vessel all 10 perc0100	8.17800000000011
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_10_perc0900_vessel.Rdata	tree	tree	689	450	184	21	34	all	10	perc0900	vessel	NULL	-487.6008	991.4133	0.00717286	0.00370582	NA	0.02133668	NA	0.2000367	0.09000587	NA	0	NA	1.070658	0.01472572	100	0	0	1.364407	0.04323526	31.55773	91.92291	4.517256	11.11039	0.9213328	ok	vessel all 10 perc0900	9.04669999999999
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_10_perc0975_vessel.Rdata	tree	tree	689	461	196	10	22	all	10	perc0975	vessel	NULL	-426.37	868.9518	0.006955756	0.004981623	NA	0.01962577	NA	0.1158277	0.2711401	NA	0.003391448	NA	1.012955	0.02722313	98.97594	0	1.024063	1.404905	0.0571961	24.56295	83.77049	7.382611	3.642568	0.9613735	ok	vessel all 10 perc0975	7.54639999999995
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_10_percmax_vessel.Rdata	tree	tree	689	468	209	3	9	all	10	percmax	vessel	NULL	-366.6722	749.5562	0.006915558	0.001938421	NA	0.02030947	NA	0.007555623	0.4094376	NA	0	NA	0.1545683	0.02489401	100	0	0	0.5734999	0.05211903	11.00366	112.9436	35.8872	2.442375	5.572201	ok	vessel all 10 percmax	5.98140000000001
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_ratematall_tree_data_all_10_percmed_vessel.Rdata	tree	tree	689	402	134	69	84	all	10	percmed	vessel	ratematall	-609.1955	1242.853	0.003547822	0.005314555	0.001547756	0.02034679	0.005590208	0.02030437	0.0327392	0.01063605	0.005839161	0.002987426	0.04541727	0.01021531	48.51087	35.45859	16.03054	0.1083106	0.04448427	2.434806	96.06025	21.62566	20.31925	17.05902	ok	vessel all 10 percmed	7.31099999999992
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_10_percmin_vessel.Rdata	tree	tree	689	245	37	226	181	all	10	percmin	vessel	NULL	-713.5075	1443.227	0.002756102	0.03589285	NA	0.03294495	NA	0.1042031	0.03555012	NA	0.01173695	NA	0.02491507	0.01884214	19.0318	0	80.9682	0.2005612	0.06628015	3.025962	25.87392	7.291388	21.14743	22.85337	ok	vessel all 10 percmin	6.952
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_1_perc0025_vessel.Rdata	tree	tree	842	394	75	171	202	all	1	perc0025	vessel	NULL	-852.6301	1721.433	0.004622434	0.01498655	NA	0.02261488	NA	0.162993	0.03615134	NA	0.01053973	NA	0.06552914	0.0170639	54.54345	0	45.45655	0.27966	0.05484093	5.099476	50.99704	5.387703	21.41737	12.10756	ok	vessel all 1 perc0025	8.20000000000005
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_1_perc0100_vessel.Rdata	tree	tree	842	427	97	138	180	all	1	perc0100	vessel	NULL	-839.9765	1696.126	0.004485871	0.01175744	NA	0.02688313	NA	0.104308	0.03672454	NA	0.01193641	NA	0.06623903	0.01410313	55.29069	0	44.70931	0.219029	0.05740854	3.81527	61.5638	7.622465	20.55036	12.44677	ok	vessel all 1 perc0100	6.97900000000004
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_1_perc0900_vessel.Rdata	tree	tree	842	538	223	27	54	all	1	perc0900	vessel	NULL	-617.1484	1250.47	0.006526001	0.06876894	NA	0.01713848	NA	5.388355	1.423764	NA	0	NA	22.17381	0.02387367	100	0	0	29.0547	0.04753815	611.187	13.2811	0.184997	0.7023635	0.04504974	ok	vessel all 1 perc0900	8.20299999999997
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_1_perc0975_vessel.Rdata	tree	tree	842	552	237	13	40	all	1	perc0975	vessel	NULL	-547.8961	1111.965	0.006371112	0.01411023	NA	0.01706843	NA	0.1867297	0.7118884	NA	0	NA	1.088182	0.0264261	100	0	0	2.00091	0.04986565	40.12602	48.82492	4.906817	1.404714	0.8971766	ok	vessel all 1 perc0975	7.73500000000013
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_1_percmax_vessel.Rdata	tree	tree	842	559	250	6	27	all	1	percmax	vessel	NULL	-493.6101	1003.393	0.006095943	0.008297617	NA	0.01668952	NA	3.5664	1.029439	NA	0.02772442	NA	32.94673	0.03609673	96.53776	0	3.462244	37.55087	0.08660661	433.5797	69.47552	0.2790887	0.9459276	0.03031881	ok	vessel all 1 percmax	8.19200000000001
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_ratematall_tree_data_all_1_percmed_vessel.Rdata	tree	tree	842	486	162	79	115	all	1	percmed	vessel	ratematall	-747.909	1520.194	0.003739091	0.009044398	0.001162624	0.01908019	0.006063303	0.0289949	0.06242634	0.007516537	0.006527057	0	0.05631294	0.009926559	55.8735	25.91902	18.20748	0.1579412	0.04043552	3.906002	71.70457	18.47118	13.07703	15.09673	ok	vessel all 1 percmed	2.85100000000011
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_1_percmin_vessel.Rdata	tree	tree	842	324	55	241	222	all	1	percmin	vessel	NULL	-881.2319	1778.637	0.004673168	0.04714005	NA	0.02989962	NA	0.1676065	0.06250488	NA	0.008368286	NA	0.0437419	0.01598119	41.6054	0	58.3946	0.3209933	0.05892225	5.447743	19.3001	5.063136	14.10971	16.74394	ok	vessel all 1 percmin	7.82899999999995
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_3_perc0025_vessel.Rdata	tree	tree	777	356	65	167	189	all	3	perc0025	vessel	NULL	-782.4692	1581.126	0.002886508	0.01420397	NA	0.02863702	NA	0.1249565	0.02710548	NA	0.01492973	NA	0.05172468	0.01711861	31.76343	0	68.23657	0.2179906	0.06357187	3.429043	58.5121	6.510691	23.78958	14.52575	ok	vessel all 3 perc0025	8.22000000000003
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_3_perc0100_vessel.Rdata	tree	tree	777	389	87	134	167	all	3	perc0100	vessel	NULL	-770.2721	1556.732	0.003177143	0.01071301	NA	0.03044413	NA	0.07534323	0.02688759	NA	0.01579317	NA	0.05072847	0.01426032	36.33896	0	63.66104	0.1636723	0.06367476	2.570442	71.99347	9.452925	23.42976	15.38727	ok	vessel all 3 perc0100	8.22000000000003
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_3_perc0900_vessel.Rdata	tree	tree	777	500	211	23	43	all	3	perc0900	vessel	NULL	-552.9967	1122.181	0.006674085	0.006741949	NA	0.02076238	NA	0.2215863	0.1507313	NA	0	NA	1.061589	0.01223328	100	0	0	1.440649	0.03966975	36.31605	74.53768	4.126287	6.634323	0.9312526	ok	vessel all 3 perc0900	8.15699999999993
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_3_perc0975_vessel.Rdata	tree	tree	777	513	225	10	29	all	3	perc0975	vessel	NULL	-480.3296	976.8467	0.006006771	0.004078448	NA	0.01940124	NA	0.1137126	0.229094	NA	0.02916358	NA	0.8659493	0.02022596	91.76379	0	8.236212	1.212834	0.07479755	16.2149	99.15502	7.512367	3.872103	1.128445	ok	vessel all 3 perc0975	7.6004999999999
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_3_percmax_vessel.Rdata	tree	tree	777	520	238	3	16	all	3	percmax	vessel	NULL	-421.6394	859.4664	0.005926767	0.001065326	NA	0.01932046	NA	0.2714735	0.2203158	NA	0.1164289	NA	3.994107	0.02621251	93.75844	0	6.241559	4.486962	0.1678886	26.72583	143.0187	3.438861	2.969609	0.2487364	ok	vessel all 3 percmax	8.18849999999998
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_ratematall_tree_data_all_3_percmed_vessel.Rdata	tree	tree	777	448	151	75	103	all	3	percmed	vessel	ratematall	-685.2661	1394.941	0.002964105	0.005996907	0.001376236	0.01978863	0.007469572	0.0266569	0.03871768	0.007442876	0.008442599	0.001694928	0.0588189	0.006680365	44.40362	32.06743	23.52895	0.1332615	0.04094686	3.254499	96.73755	18.54768	18.31396	14.88224	ok	vessel all 3 percmed	5.60699999999997
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_all_3_percmin_vessel.Rdata	tree	tree	777	286	45	237	209	all	3	percmin	vessel	NULL	-800.1926	1616.573	0.002644551	0.03181143	NA	0.02853443	NA	0.1644876	0.03617673	NA	0.01134614	NA	0.04000515	0.01795968	22.88245	0	77.11755	0.2724809	0.06048481	4.504948	29.02254	5.180756	21.0425	17.25184	ok	vessel all 3 percmin	7.54099999999994
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_groomed_10_perc0025_vessel.Rdata	tree	tree	689	310	57	161	161	groomed	10	perc0025	vessel	NULL	-706.8875	1429.987	0.003071874	0.01330506	NA	0.02574673	NA	0.09091962	0.02324117	NA	0.01517786	NA	0.03838311	0.02003062	31.29241	0	68.70759	0.165849	0.06402709	2.590293	61.0615	8.571451	26.02877	17.11926	ok	vessel groomed 10 perc0025	6.38499999999999
./intermediate_results/07_FilesResultsClimateScoringSensitivity/corHMM_result_NULL_tree_data_groomed_10_perc0100_vessel.Rdata	tree	tree	689	346	77	125	141	groomed	10	perc0100	vessel	NULL	-691.0742	1398.36	0.005273567	0.01092546	NA	0.02618535	NA	0.04677644	0.03084272	NA	0.01243683	NA	0.02757468	0.01864283	51.85097	0	48.14903	0.1161193	0.06253858	1.856763	61.7321	13.7058	23.1056	21.63682	ok	vessel groomed 10 perc0100	0.416000000000167
